time, displacement, force
0.612384, 0, -1.904747306e-18
4.556832, 0, -1.904747306e-18
4.560928, 0, -1.904747306e-18
5.9208, 0, -1.904747306e-18
5.924896, 0, -1.904747306e-18
10.680352, 0, -1.904747306e-18
10.684448, 0, -1.904747306e-18
12.773408, 0, -1.904747306e-18
12.777504, -3.90625e-11, -5.359882595e-09
12.82256, -6.09765625e-08, -8.31219826e-06
12.826656, -7.28515625e-08, -9.936676184e-06
12.830752, -8.47265625e-08, -1.155962642e-05
12.834848, -9.66015625e-08, -1.318151953e-05
12.871712, -3.18125e-07, -4.334473278e-05
12.875808, -3.463671875e-07, -4.719236587e-05
12.908576, -6.699609375e-07, -9.116035019e-05
12.912672, -7.14609375e-07, -9.723001221e-05
12.94544, -1.178867188e-06, -0.0001601790407
12.949536, -1.243515625e-06, -0.0001689528085
