time, displacement, force
0.612384, 0, -6.28566611e-17
4.556832, 0, -6.28566611e-17
4.560928, 0, -6.28566611e-17
5.9208, 0, -6.28566611e-17
5.924896, 0, -6.28566611e-17
10.680352, 0, -6.28566611e-17
10.684448, 0, -6.28566611e-17
12.773408, 0, -6.28566611e-17
12.777504, -3.90625e-11, -6.039707098e-09
12.82256, -6.09765625e-08, -9.377141772e-06
12.826656, -7.28515625e-08, -1.120889945e-05
12.830752, -8.47265625e-08, -1.303904525e-05
12.834848, -9.66015625e-08, -1.486821908e-05
12.871712, -3.18125e-07, -4.890693428e-05
12.875808, -3.463671875e-07, -5.324897111e-05
12.908576, -6.699609375e-07, -0.0001028957158
12.912672, -7.14609375e-07, -0.0001097496904
12.94544, -1.178867188e-06, -0.0001808775365
12.949536, -1.243515625e-06, -0.0001907917127
